model,age,mileage,color,price,listing_age,location,fuel,transmission
320i Cabrio,27,278000,Mor,715000,5,Kırıkkale,benzin,manuel
320i,32,337000,Kırmızı,459000,6,İstanbul,benzin,manuel
320i,27,239610,Kırmızı,715000,1,Çankırı,benzin,manuel
320i,32,150000,Mavi,365000,3,Batman,benzin,manuel
320i,26,270000,Füme,440000,1,Gaziantep,benzin,manuel
320i,27,280000,Bordo,439000,3,Ankara,benzin,manuel
320i Cabrio,36,190000,Yeşil,3775000,1,İstanbul,benzin,manuel
320i,30,314666,Mor,710000,3,İstanbul,benzin,manuel
320i,25,320000,Beyaz,545000,1,Ankara,benzin,manuel
320i M Sport,26,280000,Gri,1250000,3,İstanbul,benzin,manuel
320i Cabrio,26,236000,Mavi,825000,2,Ankara,benzin,manuel
320i,29,11111,Siyah,530000,4,Bursa,benzin,manuel
320i,30,234000,Gümüş Gri,400000,4,İstanbul,benzin,manuel
320i,30,180000,Beyaz,500000,3,İstanbul,benzin,manuel
320i Cabrio,26,278000,Siyah,615000,3,Ankara,benzin,manuel
320i,29,211800,Lacivert,1250000,5,Bursa,benzin,manuel
320i,26,420000,Gri,450000,5,İzmir,benzin,manuel
320i,26,258000,Gri,685000,3,Bursa,benzin,manuel
320i Cabrio,29,305000,Lacivert,599000,4,Bursa,benzin,manuel
320i Cabrio,29,318500,Siyah,745000,5,Ankara,benzin,manuel
320i,26,249000,Mavi,615000,5,Ankara,benzin,manuel
320i,18,255000,Gümüş Gri,580000,6,İstanbul,benzin,manuel
320i,29,317000,Mavi,395000,4,İstanbul,benzin,manuel
320i,31,297000,Siyah,595000,6,Ankara,benzin,manuel
320i M Sport,26,280000,Gri,545000,5,Kayseri,benzin,manuel
320i,36,300000,Kırmızı,465000,6,Gaziantep,benzin,manuel
320i,29,270000,Lacivert,850000,6,Ankara,benzin,manuel
320i,32,200000,Beyaz,340000,5,Ankara,benzin,manuel
320i,31,300000,Kırmızı,425000,7,Amasya,benzin,manuel
320i,28,255000,Mavi,595000,8,Ankara,benzin,manuel
320i,11,180000,Beyaz,1165000,8,Ankara,benzin,manuel
320i,34,214000,Bordo,350000,6,Antalya,benzin,manuel
320i Cabrio,27,318000,Lacivert,795000,7,Ankara,benzin,manuel
320i,30,373600,Kırmızı,305000,7,Kocaeli,benzin,manuel
320i,47,92750,Kırmızı,750000,7,İstanbul,benzin,manuel
320i Cabrio,36,200000,Bordo,4700000,9,İstanbul,benzin,manuel
320i,31,254000,Kırmızı,525000,9,Artvin,benzin,manuel
320i,16,10000,Siyah,900000,9,İstanbul,benzin,manuel
320i,30,460000,Beyaz,979000,7,Eskişehir,benzin,manuel
320i,30,297000,Siyah,525000,9,Balıkesir,benzin,manuel
320i Cabrio,26,215000,Mor,955000,7,Konya,benzin,manuel
320i,27,354000,Gümüş Gri,775000,8,Ankara,benzin,manuel
320i,27,202000,Gri,625000,10,İstanbul,benzin,manuel
320i Cabrio,24,209000,Lacivert,2050000,8,İstanbul,benzin,manuel
320i,29,290000,Lacivert,470000,8,Sakarya,benzin,manuel
320i Cabrio,26,197000,Kırmızı,750000,8,Ankara,benzin,manuel
320i Cabrio,27,197000,Mavi,1365000,8,Ankara,benzin,manuel
320i Cabrio,27,370000,Kırmızı,890000,10,Kayseri,benzin,manuel
320i Cabrio,26,98000,Lacivert,1800000,9,Ankara,benzin,manuel
320i,27,230000,Mavi,570000,11,Ankara,benzin,manuel
320i,31,350000,Kırmızı,655000,11,Ankara,benzin,manuel
320i M Sport,1,13900,Mavi,3080000,1,İstanbul,benzin,otomatik
320i Sport Line,3,112500,Beyaz,1885000,1,İstanbul,benzin,otomatik
320i,17,295000,Gümüş Gri,539000,1,Aydın,benzin,otomatik
320i 50th Year M Edition,1,43000,Beyaz,2565000,1,İstanbul,benzin,otomatik
320i Sport Line,3,112000,Gri,2179000,1,Kayseri,benzin,otomatik
320i First Edition Sport Line,4,81000,Siyah,2125000,2,Konya,benzin,otomatik
320i First Edition Sport Line,4,78000,Beyaz,2150000,2,İstanbul,benzin,otomatik
320i First Edition M Sport,4,84000,Gri,1790000,2,İstanbul,benzin,otomatik
320i 50th Year M Edition,2,33000,Beyaz,2890000,2,Ankara,benzin,otomatik
320i Sport Line,0,16175,Beyaz,2928850,2,Ankara,benzin,otomatik
320i First Edition Sport Line,3,67000,Mavi,2185000,2,Kocaeli,benzin,otomatik
320i Edition M Sport,1,21000,Kırmızı,3125000,3,Kahramanmaraş,benzin,otomatik
320i First Edition Sport Line,4,69500,Mavi,2139000,4,İstanbul,benzin,otomatik
320i M Sport,1,12900,Mavi,3040000,4,İstanbul,benzin,otomatik
320i First Edition Sport Line,5,94000,Beyaz,2247500,4,İstanbul,benzin,otomatik
320i Sport Line,2,78000,Füme,2288000,4,İstanbul,benzin,otomatik
320i M Sport,4,64750,Beyaz,2345000,5,İzmir,benzin,otomatik
320i First Edition M Sport,5,98000,Kırmızı,2138000,5,İstanbul,benzin,otomatik
320i M Sport,2,50000,Siyah,2600000,5,İstanbul,benzin,otomatik
320i First Edition Sport Line,4,98000,Gri,1945000,5,İstanbul,benzin,otomatik
320i First Edition Luxury Line,4,51500,Beyaz,2089000,5,İstanbul,benzin,otomatik
320i Edition M Sport,1,15500,Gri,3165000,5,Kocaeli,benzin,otomatik
320i First Edition M Sport,3,43000,Mavi,2500000,6,Denizli,benzin,otomatik
320i 50th Year M Edition,2,18000,Gri,3000000,6,Muğla,benzin,otomatik
320i First Edition M Sport,2,85000,Gri,2385000,6,İstanbul,benzin,otomatik
320i First Edition Sport Line,5,125000,Beyaz,2999000,13,Ankara,benzin,otomatik
320i Sport Line,2,45000,Beyaz,2460000,6,Ankara,benzin,otomatik
320i M Sport,0,40000,Gri,2850000,7,Antalya,benzin,otomatik
320i First Edition M Sport,3,43700,Bordo,2450000,7,Mersin,benzin,otomatik
320i M Sport,0,29000,Siyah,2870000,7,Antalya,benzin,otomatik
320i M Sport,3,92000,Siyah,2245000,8,İstanbul,benzin,otomatik
320i First Edition Luxury Line,4,62000,Siyah,2299000,8,Muğla,benzin,otomatik
320i M Sport,1,45000,Beyaz,2675000,9,İstanbul,benzin,otomatik
320i M Sport,0,26900,Gri,2999000,9,Antalya,benzin,otomatik
320i 50th Year M Edition,2,34000,Beyaz,2925000,9,Muğla,benzin,otomatik
320i Executive M Sport,4,190000,Gri,1950000,10,Ankara,benzin,otomatik
320i M Sport,2,27868,Siyah,2945000,11,İzmir,benzin,otomatik
320i First Edition Luxury Line,5,275000,Mavi,1825000,12,Adana,benzin,otomatik
320i Edition M Sport,1,19000,Gri,3270000,13,İstanbul,benzin,otomatik
320i First Edition M Sport,5,49000,Füme,2075000,13,İstanbul,benzin,otomatik
320i Cabrio,17,195000,Bordo,1385000,13,İzmir,benzin,otomatik
320i M Sport,3,23000,Gri,2400000,14,İstanbul,benzin,otomatik
320i First Edition M Sport,5,65000,Gri,2300000,14,Muğla,benzin,otomatik
320i First Edition Luxury Line,4,142000,Mavi,1880000,15,İstanbul,benzin,otomatik
320i M Sport,1,16000,Siyah,3070000,23,Hatay,benzin,otomatik
320i 50th Year M Edition,2,30000,Kırmızı,2910000,34,Trabzon,benzin,otomatik
320i First Edition Sport Line,4,59000,Beyaz,2195000,1,İstanbul,benzin,otomatik
320i Edition M Sport,1,6600,Beyaz,3300000,1,Ankara,benzin,otomatik
320i,12,135000,Kahverengi,1300000,1,Bursa,benzin,otomatik
320i First Edition Sport Line,5,125000,Beyaz,1868900,1,İstanbul,benzin,otomatik
320i First Edition Sport Line,4,49000,Gümüş Gri,1890000,1,İstanbul,benzin,otomatik
320i,29,226000,Yeşil,310000,1,Kayseri,benzin-lpg,manuel
320i,30,240000,Beyaz,545000,1,Giresun,benzin-lpg,manuel
320i,29,265000,Mavi,380000,2,Osmaniye,benzin-lpg,manuel
320i,26,285500,Siyah,530000,1,Ankara,benzin-lpg,manuel
320i,33,392000,Siyah,295000,1,Gaziantep,benzin-lpg,manuel
320i,30,403000,Siyah,368000,1,Ankara,benzin-lpg,manuel
320i,25,290000,Lacivert,415000,2,Kocaeli,benzin-lpg,manuel
320i,27,366000,Mavi,330000,2,Ankara,benzin-lpg,manuel
320i,30,418000,Siyah,398000,2,Mersin,benzin-lpg,manuel
320i,26,350000,Mavi,500000,2,Ankara,benzin-lpg,manuel
320i,27,367000,Lacivert,445000,2,Antalya,benzin-lpg,manuel
320i,26,346700,Gümüş Gri,562900,2,Ankara,benzin-lpg,manuel
320i Cabrio,26,285000,Siyah,945000,2,Ankara,benzin-lpg,manuel
320i,32,312000,Siyah,350000,2,Karabük,benzin-lpg,manuel
320i,30,279000,Siyah,585000,2,Ankara,benzin-lpg,manuel
320i,30,389000,Mavi,345000,3,Edirne,benzin-lpg,manuel
320i,31,360000,Siyah,285000,3,Adıyaman,benzin-lpg,manuel
320i,23,237000,Gümüş Gri,610000,1,Ankara,benzin-lpg,manuel
320i,26,318000,Füme,395000,3,İstanbul,benzin-lpg,manuel
320i,28,300000,Mavi,375000,1,Ankara,benzin-lpg,manuel
320i,27,255000,Siyah,550000,1,İzmir,benzin-lpg,manuel
320i,31,300000,Bordo,500000,3,Tekirdağ,benzin-lpg,manuel
320i,24,465000,Mavi,470000,3,Mersin,benzin-lpg,manuel
320i,30,370000,Beyaz,420000,3,Muğla,benzin-lpg,manuel
320i,26,390000,Mavi,515000,4,Ankara,benzin-lpg,manuel
320i,32,330000,Lacivert,360000,2,Konya,benzin-lpg,manuel
320i,21,327000,Gri,550000,4,Ankara,benzin-lpg,manuel
320i,26,410000,Lacivert,410000,2,Ankara,benzin-lpg,manuel
320i,28,347000,Siyah,360000,4,Denizli,benzin-lpg,manuel
320i,31,377000,Beyaz,370000,4,Ankara,benzin-lpg,manuel
320i,26,389000,Mavi,435000,4,Ankara,benzin-lpg,manuel
320i,27,350000,Kırmızı,580000,4,Ankara,benzin-lpg,manuel
320i,31,325000,Beyaz,279000,5,Ankara,benzin-lpg,manuel
320i,30,230000,Beyaz,425000,5,Antalya,benzin-lpg,manuel
320i,30,325000,Bordo,380000,3,Eskişehir,benzin-lpg,manuel
320i,31,450000,Beyaz,338000,5,Osmaniye,benzin-lpg,manuel
320i,28,340000,Kırmızı,530000,5,Ankara,benzin-lpg,manuel
320i,23,380000,Mavi,435000,3,Ordu,benzin-lpg,manuel
320i,18,244000,Siyah,780000,5,Kütahya,benzin-lpg,manuel
320i,25,412000,Bordo,475000,6,Konya,benzin-lpg,manuel
320i,29,380000,Siyah,350000,4,Ankara,benzin-lpg,manuel
320i,27,397000,Beyaz,410000,6,Konya,benzin-lpg,manuel
320i,29,265000,Mavi,318750,4,Ankara,benzin-lpg,manuel
320i,30,294000,Kırmızı,315000,6,Tekirdağ,benzin-lpg,manuel
320i,32,380000,Kırmızı,360000,6,Antalya,benzin-lpg,manuel
320i,31,300000,Beyaz,297500,6,Ankara,benzin-lpg,manuel
320i,29,285000,Mavi,405000,4,Nevşehir,benzin-lpg,manuel
320i,32,334000,Gümüş Gri,250000,6,Konya,benzin-lpg,manuel
320i,28,322000,Mor,429500,6,Ankara,benzin-lpg,manuel
320i,30,350000,Beyaz,335000,6,Ankara,benzin-lpg,manuel
320i,26,330000,Gümüş Gri,550000,4,Ankara,benzin-lpg,manuel
320i Premium,16,178000,Gri,685000,1,Bursa,benzin-lpg,otomatik
320i,25,350000,Yeşil,395000,6,İstanbul,benzin-lpg,otomatik
320i,18,319667,Gümüş Gri,675000,1,Ankara,benzin-lpg,otomatik
320i,13,195000,Beyaz,1075000,1,İstanbul,benzin-lpg,otomatik
320i,26,314000,Lacivert,530000,1,Kırşehir,benzin-lpg,otomatik
320i,25,366790,Siyah,500000,1,İstanbul,benzin-lpg,otomatik
320i Premium,18,260000,Siyah,725000,1,Aksaray,benzin-lpg,otomatik
320i Premium,16,290000,Siyah,685000,1,Ankara,benzin-lpg,otomatik
320i,18,320000,Mavi,469500,1,Eskişehir,benzin-lpg,otomatik
320i Premium,18,300000,Mavi,639000,1,Ankara,benzin-lpg,otomatik
320i,25,288000,Kırmızı,379950,1,Ankara,benzin-lpg,otomatik
320i Premium,17,169700,Yeşil,800000,1,İstanbul,benzin-lpg,otomatik
320i,24,278000,Beyaz,550000,1,Kırıkkale,benzin-lpg,otomatik
320i,24,329000,Lacivert,530000,1,Elazığ,benzin-lpg,otomatik
320i,17,231800,Siyah,985000,1,Antalya,benzin-lpg,otomatik
320i,19,271000,Gri,640000,1,Ankara,benzin-lpg,otomatik
320i,23,318000,Mavi,498000,1,Ankara,benzin-lpg,otomatik
320i,16,299000,Beyaz,765000,2,Eskişehir,benzin-lpg,otomatik
320i Premium,17,195000,Siyah,645000,2,Çorum,benzin-lpg,otomatik
320i Premium,19,223000,Gümüş Gri,700000,2,İzmir,benzin-lpg,otomatik
320i Premium,18,355000,Gri,649000,2,Kahramanmaraş,benzin-lpg,otomatik
320i,29,365000,Mavi,289850,2,İstanbul,benzin-lpg,otomatik
320i,23,360000,Gümüş Gri,525000,2,Çorum,benzin-lpg,otomatik
320i,23,321000,Mavi,525000,2,Sakarya,benzin-lpg,otomatik
320i,25,289000,Gümüş Gri,480000,2,Samsun,benzin-lpg,otomatik
320i,30,400000,Beyaz,305000,2,Balıkesir,benzin-lpg,otomatik
320i,26,360000,Lacivert,450000,2,İzmir,benzin-lpg,otomatik
320i,20,400000,Lacivert,495000,1,Ankara,benzin-lpg,otomatik
320i Premium,18,329000,Siyah,625000,3,Uşak,benzin-lpg,otomatik
320i,25,317000,Siyah,455750,3,Ankara,benzin-lpg,otomatik
320i Premium,16,256000,Siyah,755000,3,Ankara,benzin-lpg,otomatik
320i,25,312000,Siyah,525000,1,Karabük,benzin-lpg,otomatik
320i,21,230000,Gümüş Gri,435000,3,İstanbul,benzin-lpg,otomatik
320i,23,296000,Siyah,475000,3,Bursa,benzin-lpg,otomatik
320i,25,312000,Siyah,470000,1,Ankara,benzin-lpg,otomatik
320i,24,312000,Lacivert,480000,3,Ankara,benzin-lpg,otomatik
